image_name,tray_nr,image_nr,image_path,x,y,z,roll,pitch,yaw,LDM0x,LDM0y,VP0,x0,y0,z0,LDM1x,LDM1y,VP1,x1,y1,z1,LDM2x,LDM2y,VP2,x2,y2,z2,LDM3x,LDM3y,VP3,x3,y3,z3,LDM4x,LDM4y,VP4,x4,y4,z4,LDM5x,LDM5y,VP5,x5,y5,z5,LDM6x,LDM6y,VP6,x6,y6,z6,LDM7x,LDM7y,VP7,x7,y7,z7,LDM8x,LDM8y,VP8,x8,y8,z8
cam_0.jpeg,Difficult_Trajectory,0,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_0.jpeg,-54.105674,20.432032,199.999504,-0.0,-0.0,-0.0,359,294,1,54.106,-20.432,-200.0,205,247,1,-28.094,4.668,-210.8,234,258,1,-11.794,-1.232,-210.8,221,260,1,-19.194,-2.432,-210.8,225,283,1,-16.694,-15.432,-210.8,225,301,1,-16.694,-25.432,-210.8,221,325,1,-19.194,-38.432,-210.8,234,327,1,-11.694,-39.632,-210.8,205,338,1,-28.094,-45.532,-210.8
cam_1.jpeg,Difficult_Trajectory,1,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_1.jpeg,-53.671879,20.433628,199.875831,-0.000635,-0.124476,-0.000998,357,294,1,53.238,-20.43,-199.992,203,247,1,-28.986,4.668,-210.613,233,258,1,-12.686,-1.232,-210.649,219,260,1,-20.086,-2.432,-210.633,224,283,1,-17.586,-15.432,-210.638,224,301,1,-17.585,-25.432,-210.638,219,325,1,-20.085,-38.432,-210.633,233,327,1,-12.585,-39.632,-210.649,203,338,1,-28.985,-45.532,-210.614
cam_2.jpeg,Difficult_Trajectory,2,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_2.jpeg,-53.232581,20.438383,199.751968,-0.002527,-0.250935,-0.003964,355,294,1,52.359,-20.426,-199.984,201,247,1,-29.89,4.669,-210.423,231,258,1,-13.589,-1.23,-210.495,218,260,1,-20.989,-2.43,-210.462,222,283,1,-18.488,-15.43,-210.474,222,302,1,-18.488,-25.43,-210.474,218,325,1,-20.987,-38.43,-210.464,231,327,1,-13.487,-39.63,-210.497,201,338,1,-29.886,-45.531,-210.425
cam_3.jpeg,Difficult_Trajectory,3,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_3.jpeg,-52.787958,20.446253,199.627854,-0.005661,-0.379325,-0.008857,354,294,1,51.468,-20.418,-199.975,200,247,1,-30.805,4.67,-210.228,229,258,1,-14.505,-1.227,-210.337,216,260,1,-21.904,-2.429,-210.288,220,283,1,-19.402,-15.428,-210.306,220,302,1,-19.401,-25.428,-210.307,216,325,1,-21.899,-38.429,-210.291,229,327,1,-14.399,-39.627,-210.341,200,338,1,-30.797,-45.53,-210.233
cam_4.jpeg,Difficult_Trajectory,4,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_4.jpeg,-52.338188,20.457191,199.503426,-0.01002,-0.509598,-0.015636,352,294,1,50.567,-20.408,-199.965,198,247,1,-31.732,4.671,-210.029,228,258,1,-15.431,-1.224,-210.175,214,260,1,-22.831,-2.426,-210.109,219,283,1,-20.327,-15.425,-210.134,219,302,1,-20.325,-25.425,-210.135,214,325,1,-22.821,-38.426,-210.115,228,327,1,-15.321,-39.624,-210.182,198,338,1,-31.719,-45.529,-210.038
cam_5.jpeg,Difficult_Trajectory,5,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_5.jpeg,-51.883447,20.471153,199.378624,-0.015586,-0.641703,-0.024259,350,294,1,49.656,-20.395,-199.953,196,247,1,-32.671,4.673,-209.825,226,258,1,-16.369,-1.22,-210.009,212,260,1,-23.768,-2.423,-209.926,217,283,1,-21.263,-15.422,-209.958,217,302,1,-21.258,-25.422,-209.961,212,325,1,-23.753,-38.423,-209.936,226,327,1,-16.253,-39.62,-210.021,196,338,1,-32.649,-45.527,-209.839
cam_6.jpeg,Difficult_Trajectory,6,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_6.jpeg,-51.423912,20.488092,199.253389,-0.022344,-0.775589,-0.034684,348,294,1,48.734,-20.379,-199.939,194,247,1,-33.619,4.675,-209.616,224,258,1,-17.317,-1.215,-209.839,211,260,1,-24.716,-2.42,-209.739,215,283,1,-22.208,-15.418,-209.778,215,302,1,-22.202,-25.418,-209.782,211,325,1,-24.694,-38.42,-209.753,224,327,1,-17.194,-39.615,-209.855,194,338,1,-33.589,-45.525,-209.636
cam_7.jpeg,Difficult_Trajectory,7,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_7.jpeg,-50.959758,20.507962,199.127661,-0.030276,-0.911207,-0.04687,347,294,1,47.803,-20.361,-199.924,193,247,1,-34.578,4.677,-209.402,222,258,1,-18.276,-1.209,-209.664,209,260,1,-25.674,-2.416,-209.547,213,284,1,-23.163,-15.413,-209.594,213,302,1,-23.155,-25.413,-209.599,209,325,1,-25.644,-38.415,-209.567,223,327,1,-18.144,-39.609,-209.687,193,338,1,-34.537,-45.523,-209.429
cam_8.jpeg,Difficult_Trajectory,8,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_8.jpeg,-50.491161,20.530719,199.001383,-0.039365,-1.048506,-0.060776,345,294,1,46.863,-20.34,-199.906,191,247,1,-35.547,4.679,-209.183,221,258,1,-19.244,-1.203,-209.485,207,260,1,-26.641,-2.411,-209.351,212,284,1,-24.128,-15.408,-209.406,212,302,1,-24.117,-25.408,-209.413,207,325,1,-26.603,-38.411,-209.376,221,328,1,-19.103,-39.603,-209.514,191,338,1,-35.494,-45.521,-209.218
cam_9.jpeg,Difficult_Trajectory,9,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_9.jpeg,-50.018297,20.556316,198.874499,-0.049595,-1.187436,-0.07636,343,294,1,45.914,-20.317,-199.887,189,247,1,-36.526,4.682,-208.958,219,258,1,-20.222,-1.196,-209.302,205,260,1,-27.618,-2.406,-209.149,210,284,1,-25.102,-15.403,-209.213,210,302,1,-25.088,-25.403,-209.222,205,325,1,-27.57,-38.406,-209.181,219,328,1,-20.07,-39.596,-209.338,189,338,1,-36.459,-45.518,-209.003
cam_10.jpeg,Difficult_Trajectory,10,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_10.jpeg,-49.541339,20.584708,198.746954,-0.060948,-1.327947,-0.093579,341,294,1,44.956,-20.291,-199.864,187,247,1,-37.513,4.684,-208.729,217,258,1,-21.208,-1.189,-209.113,203,260,1,-28.604,-2.401,-208.943,208,284,1,-26.084,-15.397,-209.015,208,302,1,-26.067,-25.397,-209.026,203,326,1,-28.545,-38.401,-208.982,217,328,1,-21.046,-39.589,-209.158,187,339,1,-37.431,-45.516,-208.784
cam_11.jpeg,Difficult_Trajectory,11,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_11.jpeg,-49.060463,20.61585,198.618693,-0.073407,-1.469989,-0.112393,339,294,1,43.989,-20.264,-199.839,185,247,1,-38.51,4.686,-208.494,215,258,1,-22.203,-1.181,-208.92,201,260,1,-29.599,-2.396,-208.731,206,284,1,-27.074,-15.391,-208.813,206,302,1,-27.054,-25.391,-208.826,202,326,1,-29.528,-38.396,-208.779,215,328,1,-22.028,-39.581,-208.973,185,339,1,-38.411,-45.514,-208.56
cam_12.jpeg,Difficult_Trajectory,12,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_12.jpeg,-48.575841,20.649696,198.489665,-0.086956,-1.613511,-0.13276,338,294,1,43.015,-20.234,-199.811,183,247,1,-39.514,4.688,-208.253,213,258,1,-23.207,-1.173,-208.721,200,260,1,-30.601,-2.391,-208.515,204,284,1,-28.072,-15.385,-208.606,204,302,1,-28.049,-25.385,-208.621,200,326,1,-30.518,-38.39,-208.572,213,328,1,-23.018,-39.573,-208.785,183,339,1,-39.398,-45.511,-208.332
cam_13.jpeg,Difficult_Trajectory,13,Dataset/New Datasets/20231016_New_Datasets/Difficult_Trajectory/left_rescaled/cam_13.jpeg,-48.087648,20.6862,198.359817,-0.101578,-1.758464,-0.154639,336,294,1,42.034,-20.202,-199.78,181,247,1,-40.526,4.69,-208.006,211,258,1,-24.218,-1.165,-208.517,198,260,1,-31.611,-2.385,-208.292,202,284,1,-29.078,-15.378,-208.393,202,302,1,-29.051,-25.378,-208.412,198,326,1,-31.514,-38.385,-208.359,212,328,1,-24.015,-39.564,-208.592,182,339,1,-40.391,-45.509,-208.099
