image_name,tray_nr,image_nr,image_path,camera,x,y,z,roll,pitch,yaw,LDM0x,LDM0y,VP0,x0,y0,z0,LDM1x,LDM1y,VP1,x1,y1,z1,LDM2x,LDM2y,VP2,x2,y2,z2,LDM3x,LDM3y,VP3,x3,y3,z3,LDM4x,LDM4y,VP4,x4,y4,z4,LDM5x,LDM5y,VP5,x5,y5,z5,LDM6x,LDM6y,VP6,x6,y6,z6,LDM7x,LDM7y,VP7,x7,y7,z7,LDM8x,LDM8y,VP8,x8,y8,z8
N3_TRAY_A_L_0.png,A,0,../Dataset/TASI_EROSS_SIM_N3/TRAY_A_leftcam_processed/N3_TRAY_A_L_0.png,leftcam,-53.47,20.432,204.827,-0.0,15.0,-0.0,472,298,1,104.661,-20.432,-184.009,305,247,1,28.057,4.668,-215.716,334,258,1,43.802,-1.232,-211.497,321,260,1,36.654,-2.432,-213.412,325,283,1,39.069,-15.432,-212.765,325,301,1,39.069,-25.432,-212.765,321,324,1,36.654,-38.432,-213.412,335,327,1,43.899,-39.632,-211.471,305,336,1,28.057,-45.532,-215.716
N3_TRAY_A_L_1.png,A,1,../Dataset/TASI_EROSS_SIM_N3/TRAY_A_leftcam_processed/N3_TRAY_A_L_1.png,leftcam,-53.472,20.432,204.622,-0.0,14.983,-0.0,472,298,1,104.556,-20.432,-183.841,305,247,1,27.942,4.668,-215.525,334,258,1,43.688,-1.232,-211.311,321,260,1,36.54,-2.432,-213.224,325,283,1,38.955,-15.432,-212.578,325,301,1,38.955,-25.432,-212.578,321,324,1,36.54,-38.432,-213.224,334,327,1,43.785,-39.632,-211.285,305,336,1,27.942,-45.532,-215.525
N3_TRAY_A_L_2.png,A,2,../Dataset/TASI_EROSS_SIM_N3/TRAY_A_leftcam_processed/N3_TRAY_A_L_2.png,leftcam,-53.473,20.432,204.417,-0.0,14.967,-0.0,472,298,1,104.452,-20.432,-183.672,305,247,1,27.83,4.668,-215.335,334,258,1,43.577,-1.232,-211.125,321,260,1,36.428,-2.432,-213.036,325,283,1,38.843,-15.432,-212.391,325,301,1,38.843,-25.432,-212.391,321,324,1,36.428,-38.432,-213.036,334,327,1,43.674,-39.632,-211.099,305,336,1,27.83,-45.532,-215.335
N3_TRAY_A_L_3.png,A,3,../Dataset/TASI_EROSS_SIM_N3/TRAY_A_leftcam_processed/N3_TRAY_A_L_3.png,leftcam,-53.474,20.432,204.211,-0.0,14.95,-0.0,472,298,1,104.346,-20.432,-183.504,305,247,1,27.714,4.668,-215.144,334,258,1,43.462,-1.232,-210.939,320,260,1,36.313,-2.432,-212.848,325,283,1,38.728,-15.432,-212.203,325,301,1,38.728,-25.432,-212.203,320,324,1,36.313,-38.432,-212.848,334,327,1,43.559,-39.632,-210.913,305,336,1,27.714,-45.532,-215.144
N3_TRAY_A_L_4.png,A,4,../Dataset/TASI_EROSS_SIM_N3/TRAY_A_leftcam_processed/N3_TRAY_A_L_4.png,leftcam,-53.476,20.432,204.006,-0.0,14.933,-0.0,472,298,1,104.24,-20.432,-183.336,304,247,1,27.599,4.668,-214.953,334,258,1,43.349,-1.232,-210.753,320,260,1,36.199,-2.432,-212.66,325,283,1,38.614,-15.432,-212.016,325,301,1,38.614,-25.432,-212.016,320,324,1,36.199,-38.432,-212.66,334,327,1,43.445,-39.632,-210.727,304,336,1,27.599,-45.532,-214.953
N3_TRAY_A_L_5.png,A,5,../Dataset/TASI_EROSS_SIM_N3/TRAY_A_leftcam_processed/N3_TRAY_A_L_5.png,leftcam,-53.477,20.432,203.801,-0.0,14.917,-0.0,472,298,1,104.137,-20.432,-183.167,304,247,1,27.487,4.668,-214.763,334,258,1,43.238,-1.232,-210.567,320,260,1,36.088,-2.432,-212.472,325,283,1,38.503,-15.432,-211.828,325,301,1,38.503,-25.432,-211.828,320,324,1,36.088,-38.432,-212.472,334,327,1,43.335,-39.632,-210.541,304,336,1,27.487,-45.532,-214.763
N3_TRAY_A_L_6.png,A,6,../Dataset/TASI_EROSS_SIM_N3/TRAY_A_leftcam_processed/N3_TRAY_A_L_6.png,leftcam,-53.479,20.432,203.596,-0.0,14.9,-0.0,472,298,1,104.032,-20.432,-182.999,304,247,1,27.373,4.668,-214.572,334,258,1,43.125,-1.232,-210.381,320,260,1,35.974,-2.432,-212.284,325,283,1,38.39,-15.432,-211.641,325,301,1,38.39,-25.432,-211.641,320,324,1,35.974,-38.432,-212.284,334,327,1,43.222,-39.632,-210.355,304,336,1,27.373,-45.532,-214.572
N3_TRAY_A_L_7.png,A,7,../Dataset/TASI_EROSS_SIM_N3/TRAY_A_leftcam_processed/N3_TRAY_A_L_7.png,leftcam,-53.48,20.432,203.39,-0.0,14.883,-0.0,472,298,1,103.926,-20.432,-182.831,304,247,1,27.257,4.668,-214.381,333,258,1,43.011,-1.232,-210.194,320,260,1,35.859,-2.432,-212.095,324,283,1,38.275,-15.432,-211.453,324,301,1,38.275,-25.432,-211.453,320,325,1,35.859,-38.432,-212.095,334,327,1,43.107,-39.632,-210.169,304,336,1,27.257,-45.532,-214.381
N3_TRAY_A_L_8.png,A,8,../Dataset/TASI_EROSS_SIM_N3/TRAY_A_leftcam_processed/N3_TRAY_A_L_8.png,leftcam,-53.481,20.432,203.185,-0.0,14.867,-0.0,472,298,1,103.823,-20.432,-182.661,304,247,1,27.146,4.668,-214.19,333,258,1,42.9,-1.232,-210.008,320,260,1,35.748,-2.432,-211.907,324,283,1,38.164,-15.432,-211.265,324,301,1,38.164,-25.432,-211.265,320,325,1,35.748,-38.432,-211.907,334,327,1,42.997,-39.632,-209.982,304,336,1,27.146,-45.532,-214.19
N3_TRAY_A_L_9.png,A,9,../Dataset/TASI_EROSS_SIM_N3/TRAY_A_leftcam_processed/N3_TRAY_A_L_9.png,leftcam,-53.483,20.432,202.98,-0.0,14.85,-0.0,472,298,1,103.718,-20.432,-182.493,304,247,1,27.032,4.668,-214.0,333,258,1,42.787,-1.232,-209.822,320,260,1,35.634,-2.432,-211.719,324,283,1,38.051,-15.432,-211.078,324,301,1,38.051,-25.432,-211.078,320,325,1,35.634,-38.432,-211.719,333,327,1,42.884,-39.632,-209.796,304,337,1,27.032,-45.532,-214.0
